암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,병원홈페이지,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,조산사 인원수,좌표(X),좌표(Y),진료과목코드
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQzIyQxMyQzNjE4MzIjNDEjJDEjJDQjJDgz,분당제일여성병원,21,병원,310000,경기,310403,성남분당구,서현동,13590,"경기도 성남시 분당구 서현로180번길 27, 1~6층 (서현동, 분당제일여성병원)",031-725-8500,,20060807,36,1,0,0,35,0,0,0,0,0,0,0,0,0,127.1218166,37.3869717,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQwMyQyNjEyMjIjNDEjJDEjJDgjJDgz,분당척병원,21,병원,310000,경기,310403,성남분당구,야탑동,13506,"경기도 성남시 분당구 성남대로 932, 1~9층 별관:성남대로926번길 932, 1~9층 별관:성남대로926번길 12, 금탑프라자 702~706호 (야탑동)",031-788-5050,http://www.chukmedical.com,20100111,17,0,0,0,17,0,0,0,0,0,0,0,0,0,127.1292726,37.4128879,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQzIyQwMyQ0NjE0ODEjNDEjJDEjJDgjJDgz,사랑의병원,21,병원,310000,경기,310403,성남분당구,삼평동,13524,"경기도 성남시 분당구 분당내곡로 151, 6, 7층 (삼평동)",031-8017-0101,,20180531,5,1,0,0,4,0,0,0,0,0,0,0,0,0,127.1125191,37.397366,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzIxIyQxIyQxIyQ3MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,서울나우병원,21,병원,310000,경기,310403,성남분당구,서현동,13591,"경기도 성남시 분당구 분당로 43, 나우빌딩 5~11층,12일부층 (서현동)",1588-2691,,20030317,14,0,0,0,14,0,0,0,0,0,0,0,0,0,127.1202711,37.3840714,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQzIyQ4MiQyNjEyMjIjNzEjJDEjJDgjJDgz,성모윌병원,21,병원,310000,경기,310401,성남수정구,수진동,13313,"경기도 성남시 수정구 성남대로 1171, 삼성화재빌딩 1층일부, 2~9층 (수진동)",031-751-2075,,20170809,17,2,0,0,15,0,0,0,0,0,0,0,0,0,127.1282926,37.4344532,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQ3IyQ2MiQzNjE0ODEjNjEjJDEjJDQjJDgz,연세스타병원,21,병원,310000,경기,310401,성남수정구,신흥동,13353,"경기도 성남시 수정구 산성대로 267, 5층 일부, 6층 (신흥동)",1670-7088,,20200507,6,0,0,0,6,0,0,0,0,0,0,0,0,0,127.1464467,37.441324,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQ3IyQ2MiQyNjEyMjIjODEjJDEjJDYjJDgz,위례재활의학과병원,21,병원,310000,경기,310401,성남수정구,창곡동,13647,"경기도 성남시 수정구 위례서일로 6, 6층~9층 (창곡동)",031-751-0660,,20200423,4,0,0,0,4,0,0,0,0,0,0,0,0,0,127.1367046,37.4655966,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQzIyQwMyQyNjE0ODEjNjEjJDEjJDQjJDgz,으뜸병원,21,병원,310000,경기,310402,성남중원구,성남동,13376,"경기도 성남시 중원구 성남대로 1133, 성남 메트로칸 3,4층 (성남동)",031-759-1700,,20120716,2,0,0,0,2,0,0,0,0,0,0,0,0,0,127.128633,37.4310405,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ5MiQzNjEwMDIjNjEjJDEjJDQjJDgz,의료법인 본플러스재단 분당병원,21,병원,310000,경기,310403,성남분당구,정자동,13558,"경기도 성남시 분당구 정자로 13, 801,704호 (정자동, 월드비터)",031-714-0141,http://www.boneplus.com/,20040204,4,1,0,0,3,0,0,0,0,0,0,0,0,0,127.10633,37.3637163,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQzIyQ4OSQyNjEyMjIjNDEjJDEjJDgjJDgz,지우병원,21,병원,310000,경기,310401,성남수정구,태평동,13290,"경기도 성남시 수정구 수정로 183, (태평동)",031-756-8355,,20160105,6,0,0,0,6,0,0,0,0,0,0,0,0,0,127.1401962,37.4437281,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzIxIyQyIyQxIyQwMCQ0NjE0ODEjNzEjJDEjJDgjJDgz,태평서울병원,21,병원,310000,경기,310401,성남수정구,수진동,13313,"경기도 성남시 수정구 성남대로 1219, 지층~5층 (수진동)",031-721-7317,,20050217,2,0,0,0,2,0,0,0,0,0,0,0,0,0,127.1274428,37.4386221,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQ1IyQ3MiQyNjEwMDIjNTEjJDEjJDYjJDgz,휴엔병원,21,병원,310000,경기,310401,성남수정구,신흥동,13345,"경기도 성남시 수정구 산성대로 241, 9,10,11,12층 (신흥동)",031-753-1000,,20140508,3,0,0,0,3,0,0,0,0,0,0,0,0,0,127.1440896,37.4399478,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzMxIyQxIyQ3IyQ5OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,라온힐요양병원,28,요양병원,310000,경기,310402,성남중원구,여수동,13439,"경기도 성남시 중원구 양현로405번길 13, 중일아인스빌딩 지하3층,2~10층 (여수동)",031-709-9119,,20140808,7,2,0,0,4,0,0,0,0,1,0,0,0,0,127.1268862,37.4182637,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ3MiQyNjE0ODEjNDEjJDEjJDgjJDgz,보바스기념병원,28,요양병원,310000,경기,310403,성남분당구,금곡동,13552,"경기도 성남시 분당구 대왕판교로 155-7, (금곡동, 보바스기념병원)",1877-5661,http://www.bobath.co.kr,20020510,18,0,0,0,18,0,0,0,0,0,0,0,0,0,127.0982564,37.3559526,
JDU4MTI3MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ3OSQzNjE0ODEjNDEjJDEjJDgjJDgz,분당센트럴요양병원,28,요양병원,310000,경기,310403,성남분당구,이매동,13568,"경기도 성남시 분당구 양현로94번길 17, 지1층~5층 (이매동)",031-706-9090,,20171110,7,0,0,0,4,0,0,0,0,3,0,0,0,0,127.1260479,37.3912904,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzMxIyQxIyQ3IyQ3MiQzNjEwMDIjNDEjJDEjJDgjJDgz,분당수요양병원,28,요양병원,310000,경기,310403,성남분당구,야탑동,13521,"경기도 성남시 분당구 판교로 473, 2,3,4,6층 (야탑동, ROOKIE 1129)",703-7500,,20150206,2,0,0,0,1,0,0,0,0,1,0,0,0,0,127.1264483,37.405734,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzMxIyQxIyQzIyQ5OSQyNjE4MzIjNjEjJDEjJDgjJDgz,분당연세요양병원,28,요양병원,310000,경기,310403,성남분당구,야탑동,13381,"경기도 성남시 분당구 양현로375번길 31, 지하1층,1,2,3층 (야탑동)",031-703-0888,,20090105,5,0,0,0,5,0,0,0,0,0,0,0,0,0,127.1209028,37.4160778,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQxIyQxMyQyNjE4MzIjNjEjJDEjJDgjJDgz,서울위례바이오요양병원,28,요양병원,310000,경기,310401,성남수정구,창곡동,13644,"경기도 성남시 수정구 헌릉로 999, 센트럴메디타운 2층,3층,4층 일부 (창곡동)",031-758-8575,,20210615,2,1,0,0,1,0,0,0,0,0,0,0,0,0,127.1433543,37.4622771,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzMxIyQxIyQ3IyQ3MiQ0NjE0ODEjNjEjJDEjJDQjJDgz,성남요양병원,28,요양병원,310000,경기,310402,성남중원구,금광동,13180,"경기도 성남시 중원구 광명로 299, 행림빌딩 지하1층,3~8층 (금광동)",031-731-8899,,20150304,8,1,0,0,6,0,0,0,0,1,0,0,0,0,127.159374,37.4446663,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQxMyQ0NjEwMDIjNzEjJDEjJDgjJDgz,성모요양병원,28,요양병원,310000,경기,310403,성남분당구,야탑동,13509,"경기도 성남시 분당구 새나리로 13, (야탑동)",031-707-9100,http://www.dwsilver.co.kr/www_user/,19981119,2,0,0,0,1,0,0,0,0,1,0,0,0,0,127.1570559,37.4047261,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQ1IyQ3MiQyNjE4MzIjNTEjJDEjJDYjJDgz,우리효사랑요양병원,28,요양병원,310000,경기,310401,성남수정구,신흥동,13259,"경기도 성남시 수정구 수정로 271, (신흥동)",031-735-7500,,20080716,6,0,0,0,3,0,0,0,0,2,0,0,1,0,127.1454625,37.4490929,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQxIyQ3OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,위례서울닥터스요양병원,28,요양병원,310000,경기,310401,성남수정구,,13646,"경기도 성남시 수정구 위례광장로 9-9, 3층 일부, 4층 (창곡동)",031-759-5005,,20180913,6,1,0,0,4,0,0,0,0,0,0,0,1,0,127.1411484,37.4644861,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQ1IyQ3OSQyNjEwMDIjNDEjJDEjJDgjJDgz,위례센트럴요양병원,28,요양병원,310000,경기,310401,성남수정구,창곡동,13644,"경기도 성남시 수정구 헌릉로 999, 5~10층 (창곡동)",031-758-7000,,20190813,8,2,0,0,5,0,0,0,0,1,0,0,0,0,127.1433543,37.4622771,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQxIyQwMyQyNjE4MzIjODEjJDEjJDYjJDgz,위례스마트요양병원,28,요양병원,310000,경기,310401,성남수정구,창곡동,13644,"경기도 성남시 수정구 헌릉로 993, 더퍼스트메디타워 4층,5층,6층,7층 일부,8층 (창곡동)",031-8039-7676,,20200918,7,0,0,0,4,0,0,0,0,3,0,0,0,0,127.1429211,37.4625153,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ4OSQzNjE0ODEjNjEjJDEjJDAjJDgz,좋은이웃요양병원,28,요양병원,310000,경기,310402,성남중원구,도촌동,13426,"경기도 성남시 중원구 도촌로8번길 34, (도촌동)",031-705-5757,http://www.jhospital.co.kr/index.html,20091204,2,1,0,0,1,0,0,0,0,0,0,0,0,0,127.1509597,37.4158391,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ5MiQzNjE4MzIjODEjJDEjJDYjJDgz,카리스요양병원,28,요양병원,310000,경기,310403,성남분당구,서현동,13587,"경기도 성남시 분당구 불정로386번길 8, 1층일부~4층 (서현동)",031-709-1234,www.karishospital.co.kr/,20120605,3,0,0,0,3,0,0,0,0,0,0,0,0,0,127.1374295,37.3740115,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQ1IyQ3OSQyNjE0ODEjNTEjJDEjJDIjJDgz,파티마 요양병원,28,요양병원,310000,경기,310401,성남수정구,신흥동,13345,"경기도 성남시 수정구 산성대로 231, (신흥동)",031-721-1004,,20150615,5,0,0,0,3,0,0,0,0,2,0,0,0,0,127.1431859,37.4393579,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzQxIyQxIyQ3IyQ3MiQyNjE4MzIjNDEjJDEjJDgjJDgz,성남사랑의병원,29,정신병원,310000,경기,310401,성남수정구,태평동,13308,"경기도 성남시 수정구 성남대로 1270-1, 성남대로 1262, 11-12층  (태평동)",031-756-3024,,20101004,4,0,0,0,4,0,0,0,0,0,0,0,0,0,127.1275055,37.4432866,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzExIyQxIyQzIyQ5OSQzNjEyMjIjNTEjJDEjJDYjJDgz,(의) 열린의료재단 성남열린의원,31,의원,310000,경기,310401,성남수정구,태평동,13290,"경기도 성남시 수정구 수정로 185, 6층 (태평동)",031-747-0875,,20080304,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1404742,37.4437912,
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzMxIyQxIyQzIyQ3OSQ0NjEwMDIjNDEjJDEjJDQjJDgz,(의)열린의료재단 분당열린의원,31,의원,310000,경기,310403,성남분당구,서현동,13591,"경기도 성남시 분당구 분당로53번길 22, 4층 (서현동, 블루홀빌딩)",031-708-9393,,19980805,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1228552,37.3842675,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzQxIyQxIyQ3IyQ3OSQ0NjEwMDIjNTEjJDEjJDIjJDgz,21C프라자내과의원,31,의원,310000,경기,310401,성남수정구,수진동,13327,"경기도 성남시 수정구 수정로 106, 503호 (수진동)",031-721-3813,,20070601,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1322097,37.4407268,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzMxIyQxIyQzIyQ2MiQyNjE0ODEjNjEjJDEjJDgjJDgz,21세기미금의원,31,의원,310000,경기,310403,성남분당구,금곡동,13618,"경기도 성남시 분당구 성남대로 168, 801~803호 (금곡동, 미도프라자)",717-9111,http://www.clinic21c.com,20030419,4,0,0,0,4,0,0,0,0,0,0,0,0,0,127.1094943,37.3508865,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzMxIyQxIyQzIyQ2MiQzNjE0ODEjODEjJDEjJDYjJDgz,21세기연세의원,31,의원,310000,경기,310403,성남분당구,정자동,13558,"경기도 성남시 분당구 성남대로 345, 7층 701~703호 (정자동, 정자역프라자)",031-711-0078,,20110722,3,0,0,0,3,0,0,0,0,0,0,0,0,0,127.1077021,37.3669303,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ5IyQ5OSQ0NjE0ODEjNzEjJDEjJDgjJDgz,21세기의원,31,의원,310000,경기,310403,성남분당구,서현동,13586,"경기도 성남시 분당구 돌마로 482, 주영빌딩 2층 (서현동)",031-702-2021,,20180403,4,0,0,0,4,0,0,0,0,0,0,0,0,0,127.1336651,37.3772883,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQ5IyQ2MiQyNjEwMDIjNDEjJDEjJDQjJDgz,365MC의원,31,의원,310000,경기,310403,성남분당구,서현동,13591,"경기도 성남시 분당구 서현로210번길 17, 광림플라자 4층 401~402호 (서현동)",709-3652,,20060919,2,0,0,0,2,0,0,0,0,0,0,0,0,0,127.1246123,37.3855126,
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzUxIyQxIyQxIyQ5MiQyNjEyMjIjNzEjJDEjJDgjJDgz,365에스와이(SY)서울연세이비인후과의원,31,의원,310000,경기,310403,성남분당구,서현동,13591,"경기도 성남시 분당구 서현로210번길 20, 3,4층 305-3,306,402호 (서현동, 코코프라자)",031-704-5275,,20000424,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1240452,37.3858444,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQxMyQzNjEwMDIjNzEjJDEjJDgjJDgz,365위례연세내과의원,31,의원,310000,경기,310401,성남수정구,,13642,"경기도 성남시 수정구 위례동로 153, 4층 404호 (창곡동, 에이플타워)",031-722-0055,,20161115,2,0,0,0,2,0,0,0,0,0,0,0,0,0,127.1501737,37.4734999,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQyIyQxIyQwMCQyNjEwMDIjODEjJDEjJDYjJDgz,365프렌즈내과의원,31,의원,310000,경기,310401,성남수정구,,13642,"경기도 성남시 수정구 위례동로 147, 5층 505호 (창곡동, 위례건아타워)",031-731-6614,,19920601,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.15011,37.4730816,
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ3MiQyNjE4MzIjNjEjJDEjJDgjJDgz,3대정이비인후과의원,31,의원,310000,경기,310403,성남분당구,야탑동,13506,"경기도 성남시 분당구 야탑로 95, 2층 (야탑동, 세신옴니코아)",031-709-8400,,20040308,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1292899,37.4101791,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzIxIyQxIyQxIyQ5OSQzNjE0ODEjNjEjJDEjJDAjJDgz,LH의원,31,의원,310000,경기,310403,성남분당구,구미동,13637,"경기도 성남시 분당구 성남대로54번길 3, 3층 (구미동, 대한주택공사별관)",031-738-5180,,20101224,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.110166,37.341413,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzExIyQxIyQzIyQwMyQ0NjEwMDIjNjEjJDEjJDgjJDgz,W정신건강의학과의원,31,의원,310000,경기,310403,성남분당구,삼평동,13524,"경기도 성남시 분당구 판교역로 178, 서건타워 402일부호 (삼평동)",031-8016-6663,,20150526,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1100665,37.3965078,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ1IyQ3OSQ0NjEwMDIjODEjJDEjJDYjJDgz,YES성형외과의원,31,의원,310000,경기,310403,성남분당구,서현동,13591,"경기도 성남시 분당구 황새울로342번길 9, (서현동, 서울문고)",709-2306,,20000327,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1234385,37.3860699,
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQzIyQ3MiQzNjEwMDIjNTEjJDEjJDIjJDgz,e-서울이비인후과의원,31,의원,310000,경기,310403,성남분당구,서현동,13591,"경기도 성남시 분당구 황새울로342번길 11, 401호 402호 (서현동, 금호리빙스텔)",706-0270,,20030317,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1236466,37.3862176,
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQ1IyQwMyQyNjEwMDIjNDEjJDEjJDgjJDgz,강&서마취통증의학과의원,31,의원,310000,경기,310403,성남분당구,서현동,13591,"경기도 성남시 분당구 황새울로342번길 9, 5층 (서현동, 정현빌딩)",031-781-1146,,19970220,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1234385,37.3860699,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQ1IyQ4MiQ0NjE0ODEjNjEjJDEjJDQjJDgz,강남재활의학과의원,31,의원,310000,경기,310402,성남중원구,금광동,13180,"경기도 성남시 중원구 광명로 299, 행림빌딩 2층 (금광동)",031-733-7588,,20200407,2,0,0,0,2,0,0,0,0,0,0,0,0,0,127.159374,37.4446663,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzMxIyQxIyQzIyQ3MiQzNjE0ODEjNTEjJDEjJDIjJDgz,강동우정신건강의학과의원,31,의원,310000,경기,310403,성남분당구,정자동,13558,"경기도 성남시 분당구 성남대로 345, 정자역 프라자빌딩 506호 (정자동)",712-0506,,20180713,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1077021,37.3669303,
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzUxIyQxIyQ1IyQ4MiQzNjE4MzIjNDEjJDEjJDgjJDgz,강욱내과의원,31,의원,310000,경기,310403,성남분당구,수내동,13599,"경기도 성남시 분당구 내정로 170, 408호 (수내동, 동신파크)",711-8686,http://www.ukclinic.co.kr/,19970501,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1196613,37.3734807,
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxMTkxIzUxIyQxIyQ1IyQxMyQ0NjEwMDIjNTEjJDEjJDYjJDgz,계정이비인후과의원,31,의원,310000,경기,310401,성남수정구,태평동,13305,"경기도 성남시 수정구 수정로 121, (태평동)",031-758-7163,,19910708,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1337848,37.4417405,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ1IyQ4MiQyNjE4MzIjNDEjJDEjJDQjJDgz,고든정형외과의원,31,의원,310000,경기,310402,성남중원구,금광동,13177,"경기도 성남시 중원구 광명로 333, 서광빌딩 2층3층 일부호 (금광동)",031-732-0880,,20220503,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1629301,37.4458072,
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNTEjJDEjJDIjJDgz,고등연세이비인후과의원,31,의원,310000,경기,310401,성남수정구,고등동,13105,"경기도 성남시 수정구 청계산로 695, 303-304호 (고등동)",,,20241112,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.095336,37.4271941,
