암호화요양기호,요양기관명,위치_공공건물(장소)명,위치_방향,위치_거리,주차_가능대수,주차_비용 부담여부,주차_기타 안내사항,휴진안내_일요일,휴진안내_공휴일,응급실_주간_운영여부,응급실_주간_전화번호1,응급실_주간_전화번호2,응급실_야간_운영여부,응급실_야간_전화번호1,응급실_야간_전화번호2,점심시간_평일,점심시간_토요일,접수시간_평일,접수시간_토요일,진료시작시간_일요일,진료종료시간_일요일,진료시작시간_월요일,진료종료시간_월요일,진료시작시간_화요일,진료종료시간_화요일,진료시작시간_수요일,진료종료시간_수요일,진료시작시간_목요일,진료종료시간_목요일,진료시작시간_금요일,진료종료시간_금요일,진료시작시간_토요일,진료종료시간_토요일
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzIxIyQxIyQ1IyQxMyQ0NjE0ODEjNjEjJDEjJDgjJDgz,동서경희한의원,위례푸른초등학교,정문에서 우측,30m,80.0,N,,휴진,,N,,,N,,,,,09시00분~19시00분,09시00분~15시00분,,,900.0,2100.0,900.0,1900.0,900.0,1900.0,900.0,2100.0,900.0,1900.0,900.0,1500.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzIxIyQxIyQ5IyQ3MiQzNjE0ODEjNDEjJDEjJDgjJDgz,동의보감한의원,,,,30.0,N,,전부 휴진,전부 휴진,N,,,N,,,13시 00분~14시 00분,,,,,,1000.0,1900.0,1000.0,1900.0,1000.0,1900.0,1400.0,2100.0,1000.0,1900.0,1000.0,1300.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzIxIyQxIyQ5IyQ5OSQyNjEwMDIjNjEjJDEjJDAjJDgz,으뜸한의원,무지개(마을)사거리,하나은행 건물 2층,,0.0,N,주차공간 넓음,휴진,휴진,N,,,N,,,1시~2시,1시~2시,,,,,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1600.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzIxIyQxIyQxIyQ2MiQ0NjE0ODEjNTEjJDEjJDYjJDgz,인상흠한의원,,,,100.0,Y,내원시 주차쿠폰 드림. (주차비 부담 없음),전부 휴진,전부 휴진,N,,,N,,,13시 00분~14시 00분,13시 00분~14시 00분,,,,,1000.0,1800.0,1000.0,1800.0,1000.0,1800.0,1000.0,1800.0,1000.0,1800.0,1000.0,1600.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzMxIyQxIyQ3IyQ3OSQ0NjEwMDIjODEjJDEjJDIjJDgz,이원익한의원,ㄴ,,,10.0,N,,,,N,,,N,,,,,,,,,,,,,,,,,,,,
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzMxIyQxIyQ3IyQ4OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,해바라기한의원,야탑역,1번출구,광장내,300.0,N,진료확인시 2시간 무료,전부 휴진,전부 휴진,N,,,N,,,13시00분-14시 00분,,09시 00분-17시 30분,09시 00분-11시 30분,,,900.0,1830.0,900.0,1830.0,900.0,1830.0,,,900.0,1830.0,900.0,1300.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzMxIyQxIyQ3IyQxMyQ0NjE0ODEjNjEjJDEjJDQjJDgz,소생한의원,오라타워 4층,,,10.0,Y,"주차 1시간 무료, suv, 대형차 주차 불가","토요일, 일요일 휴진",휴진,N,,,N,,,13:00-14:00,,오후 6시 20분까지 접수,,,,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1900.0,,
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzMxIyQxIyQ3IyQxMyQyNjEyMjIjNjEjJDEjJDgjJDgz,사랑한의원,우성트램타워 B동 503호,,,100.0,N,,휴진,휴진,N,,,N,,,13시00분~14시00분,,10시00분~19시00분,10시00분~14시00분,,,1000.0,1900.0,1000.0,1900.0,,,1000.0,1900.0,1000.0,1900.0,1000.0,1400.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzMxIyQxIyQzIyQ5MiQ0NjEwMDIjNTEjJDEjJDIjJDgz,기운찬한의원,무지개마을 투썸플레이스 3층,,,30.0,N,주차장 입구는 건물 뒤편에 있습니다.,전부휴진,전부휴진,N,,,N,,,13:00 ~ 14:00,없음,,,,,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1300.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzUxIyQxIyQ1IyQ5MiQyNjEwMDIjNTEjJDEjJDIjJDgz,백년지기한의원,,,,30.0,N,,,20대 대통령 선거일 (오후 5시)진료합니다.,N,,,N,,,13시00분 부터 14시00분까지,,09시30분 부터 18시30분까지,09시30분 부터 13시30분까지,,,930.0,1900.0,930.0,1900.0,930.0,2100.0,1400.0,1900.0,930.0,1900.0,930.0,1400.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzUxIyQxIyQxIyQwMyQzNjE4MzIjNTEjJDEjJDIjJDgz,선한의원,야탑역,1번출구,10m,50.0,N,,휴진,휴진,N,,,N,,,13시00분~14시00분,13시00분~14시00분,09시30분~18시30분,09시30분~15시30분,,,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1600.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQzIyQ4OSQ0NjEwMDIjNjEjJDEjJDgjJDgz,인다라한의원,,,,,,,휴진,휴진,N,,,N,,,12시00분~13시00분,,9시~17시30분,9시~12시30분,,,,,,,,,,,,,,
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQyIyQzIyQwMCQyNjE4MzIjNDEjJDEjJDgjJDgz,신흥한의원,수정구청,수정구청 앞 큰길 건너편,20미터,5.0,N,,휴진,휴진,N,,,N,,,오후1시에서 오후2시,오전1시에서 오후2시,근무시간 중 항시 가능,근무시간 중 항시 가능,,,1000.0,1800.0,1000.0,1800.0,1000.0,1800.0,1000.0,1800.0,1000.0,1800.0,1030.0,1400.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ1IyQxMyQzNjE0ODEjNTEjJDEjJDIjJDgz,거북이한의원,,,,,,,전부휴진,전부휴진,N,,,N,,,13:00~14:00,,,,,,930.0,1900.0,930.0,2000.0,930.0,1900.0,930.0,2000.0,930.0,1900.0,930.0,1400.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzMxIyQxIyQ3IyQ3MiQyNjE4MzIjNjEjJDEjJDAjJDgz,늘좋은한의원,태평동 오거리,중앙파출소 방향,0m,2.0,N,주차 공간이 협소하여 주위 공용 주차장 이용 바랍니다(유료).,전부 휴진,전부 휴진,N,,,N,,,13시00분 ~14시00분,,09시00분 ~ 18시00분,09시00분 ~ 12시00분,,,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1900.0,900.0,1300.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzMxIyQxIyQ3IyQ4MiQyNjE4MzIjNDEjJDEjJDgjJDgz,올봄 한의원,성남 은행시장,남한산성 방향,50m,,,바로 앞 도로변에 공용 주차장 운영 중입니다.,전부 휴진,전부 휴진,N,,,N,,,13시00분~14시00분,13시00분~14시00분,09시00분~18시40분,09시00분~15시40분,,,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1600.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzMxIyQxIyQzIyQxMyQ0NjEwMDIjNjEjJDEjJDgjJDgz,정재환한의원,,,,,,,전부휴진,전부휴진,N,,,N,,,12시 30분~13시 30분,12시 30분~13시 30분,9시30분~18시,09시30분~15시30분,,,,,,,,,,,,,,
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzQxIyQxIyQ3IyQ3MiQyNjEyMjIjNTEjJDEjJDIjJDgz,박광은한의원,분당 수내동 롯데백화점(분당선 수내역 4번 출구) 앞 JLS(정상어학원) 빌딩 4층,,,50.0,N,"본 건물 지하 2층, 3층 주차시설. 입구가 조금 좁고 엘리베이터식 주차 시설이나 주차장에 들어가면 주차 공간은 상당히 넓고 쾌적합니다.",전부 휴진,전부 휴진,N,,,N,,,13시~14시,점심시간 없습니다.,09시20분~18시 30분,09시20분~13시 30분,,,930.0,1900.0,930.0,1900.0,930.0,1900.0,1400.0,1900.0,930.0,1900.0,930.0,1400.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzUxIyQxIyQ1IyQ3OSQyNjE0ODEjNTEjJDEjJDIjJDgz,제중한의원,금광1동 주민센터,정문에서 좌측방향,10m,,,한의원 앞 도로의 유료주차장에 주차,전부 휴진,전부 휴진,N,,,N,,,,,13:00~14:00,13:00~14:00,,,930.0,1900.0,930.0,2100.0,930.0,1900.0,930.0,2100.0,930.0,1900.0,930.0,1700.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzExIyQxIyQ3IyQ4MiQyNjEyMjIjODEjJDEjJDIjJDgz,탑으뜸한의원,아름마을 사거리 국민은행,국민은행 우측,10M,20.0,Y,진료시간 2시간 무료,휴진,휴진,N,,,N,,,13시00분~14시00분,13시00분~14시00분,,,,,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1600.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzExIyQyIyQzIyQwMCQzNjE4MzIjNDEjJDEjJDgjJDgz,휴한의원,"상대원동 사기막골로 SKn테크노파크 ,  상대원 자동차 검사소",,100m 이내,1500.0,N,주차  무료/넓은 주차장,휴진,휴진,N,,,N,,,13시 30분-14시 30분,점심시간 없음,"9:30-7:00(화, 목 저녁 8:00까지 야간진료)",9:30-1:30(매월 첫째주 월 1회만 진료),,,930.0,1900.0,930.0,2000.0,930.0,1900.0,930.0,2000.0,930.0,1900.0,930.0,1330.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzIxIyQxIyQ1IyQ3MiQzNjEyMjIjNjEjJDEjJDgjJDgz,시청앞경희한의원,성남시청,맞은편,20m,,,,전부 휴진,전부 휴진,N,,,N,,,13시30분~14시30분,,9시30분~18시30분,9시30분~13시,,,1000.0,1900.0,1000.0,1900.0,1000.0,1900.0,1000.0,1900.0,1000.0,1900.0,930.0,1330.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzIxIyQyIyQxIyQwMCQyNjE0ODEjNjEjJDEjJDgjJDgz,하늘마음한의원,경기도 성남시 분당구 성남대로 331번길3-9 백궁프라자3차 4층,정자역 3번출구,100m 직진,10.0,N,정자민영주차장 지원가능,휴진,휴진,N,,,N,,,오후 1시 ~ 2시까지,점심시간없음,월.목 10:00~21:00 화.금 10:00~19:00 (수요일휴진),09:00~15:00(점심시간없음),,,1000.0,2100.0,1000.0,1900.0,,,1000.0,2100.0,1000.0,1900.0,900.0,1500.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzMxIyQxIyQ3IyQ5MiQzNjE0ODEjNTEjJDEjJDYjJDgz,박종훈경동한의원,,,,,,아파트단지 주차장에 방문객으로 주차가능,,,N,,,N,,,13시00분~14시00분,13시00분~14시00분,,,1000.0,1300.0,1000.0,2000.0,1400.0,2000.0,1000.0,2000.0,1000.0,2000.0,1000.0,2000.0,1000.0,1600.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzMxIyQxIyQ3IyQwMyQyNjE0ODEjODEjJDEjJDIjJDgz,안아픈경희한의원,정자동 KT 본사,KT본사 에서 탄천 초등학교 쪽으로,150m(6분거리),30.0,N,건물 뒷쪽으로 1층과 지하까지 연결되어 있습니다. (주차권을 받으실경우 무료입니다.) 별첨: 주차타워 운영,전부휴진,전부휴진,N,,,N,,,13:00~14:00,점심시간없음,"화 9:30 ~ 20:30 , 월,수,목,금 9:30 ~ 18:30",09:00 ~ 15:30,,,930.0,1900.0,930.0,2100.0,930.0,1900.0,930.0,1900.0,930.0,1900.0,900.0,1600.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzUxIyQxIyQ1IyQ4OSQzNjE4MzIjNTEjJDEjJDYjJDgz,경희제생한의원,성남시 수정구 성남대로 1224 수진빌딩 2층,,,4.0,N,,,,N,,,N,,,13시00분~14시00분,13시00분~14시00분,09시30분~18시30분,09시30분~13시30분,,,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1400.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzUxIyQxIyQ1IyQ5OSQzNjEwMDIjNjEjJDEjJDAjJDgz,려한의원,,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzUxIyQxIyQxIyQxMyQyNjE4MzIjNTEjJDEjJDIjJDgz,에이치에스한의원,,,,1000.0,N,"2시간 무료 , 이후 지하주차장 규정대로",,,N,,,N,,,1:30-2:30,,9:00- 7:30(접수 7:15까지),9:30-2:00,,,900.0,1930.0,900.0,1930.0,900.0,1930.0,900.0,1930.0,900.0,1930.0,930.0,1400.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzUxIyQyIyQ1IyQwMCQyNjEwMDIjODEjJDEjJDYjJDgz,창창한의원,,,,40.0,N,,휴무,휴무,N,,,N,,,13시00분~14시00분,,10시00분~19시00분(목요일은 12시00분),10시00분~13시00분,,,1000.0,1900.0,1000.0,1900.0,1000.0,1900.0,1000.0,1300.0,1000.0,1900.0,1000.0,1400.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzExIyQxIyQzIyQ2MiQzNjEwMDIjNDEjJDEjJDgjJDgz,자광한의원,단대 푸르지오 대로변,,,,,대로변 공공주차이용,휴진,10시~4시 진료,N,,,N,,,1:30 ~2:30,1:30~2:30,,,0.0,0.0,1000.0,1800.0,1000.0,1600.0,1000.0,1800.0,0.0,0.0,1000.0,1800.0,1000.0,1600.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzExIyQxIyQzIyQxMyQ0NjEwMDIjNDEjJDEjJDQjJDgz,청수한의원,,,,,,,,,N,,,N,,,1시00분~2시00분,,,,,,1000.0,1730.0,1000.0,1730.0,1000.0,1730.0,1000.0,1600.0,1000.0,1730.0,1000.0,1230.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQ1IyQ2MiQzNjE0ODEjNDEjJDEjJDgjJDgz,바른추한의원,오리역 3번출구,죽전방향,50m,30.0,N,,전부휴진,"법정공휴일 전부휴진, 대체,임시공휴일 오전 9:30-오후4:00",N,,,N,,,13시 00분~14시 00분,,09시 30분~18시 30분(목요일은 21:00까지),,,,,,,,,,,,,,,
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQ1IyQ4MiQyNjE0ODEjNTEjJDEjJDYjJDgz,서현한의원,성남시 분당구 서현동 305-2번지. 효자촌 맥도날드 3층 한의원,,,52.0,N,맥도날드와 농협 효자촌지점 사이에 주자창 있음.,전부 휴진,전부 휴진,N,,,N,,,오후1:00-2:00,점심시간 따로 없이 진료함,진료시간 중 수시 접수,진료 시간 중 수시 접수,,,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1500.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQ1IyQwMyQzNjE0ODEjNDEjJDEjJDgjJDgz,분당8+1한의원,분당 제생병원 응급실,응급실에서 대각선으로 맞은편 3층,,96.0,N,,전부휴진,1월1일 전부휴진/ 오전10:00-오후05:00 까지 정상진료,N,,,N,,,,,,,,,930.0,1930.0,930.0,1930.0,930.0,1930.0,1300.0,1930.0,930.0,1930.0,930.0,1700.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQ5IyQ3MiQyNjE4MzIjNzEjJDEjJDgjJDgz,명문한의원,중부초등학교,한의원에서 은행1동 방향으로 건너편,50m,,,중부초등학교 공영주차장이나 건물 뒤 주차장 이용,전부 휴진,전부 휴진,N,,,N,,,1시~2시,,17시30분 마감,12시30분 마감,,,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQxIyQ3MiQzNjEyMjIjODEjJDEjJDYjJDgz,우제한의원,단대오거리 단대쇼핑 맞은편 신협2층,,,,,주차는 KT 맞은편 공영주자장을 이용하세요. 주말엔 건물 앞에 주차가능.,휴무,휴무,N,,,N,,,1시~2시,,8시20분~5시30분,8시20분~1시30분,,,900.0,1800.0,900.0,1800.0,900.0,1800.0,1400.0,1800.0,900.0,1800.0,900.0,1400.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzMxIyQxIyQzIyQ2MiQzNjE0ODEjNjEjJDEjJDAjJDgz,삼성한의원,8호선 단대오거리역,1번출구에서 신구대 방향 도로를 따라서,100미터 거리,,,,전부 휴진,오후 2시 이후,N,,,N,,,오후1시 - 오후2시,,,,,,930.0,2100.0,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,2100.0,930.0,1400.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzUxIyQxIyQ1IyQ4OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,청구경희한의원,야탑역3번출구에서,야탑사거리 방향으로,20M,0.0,Y,진료 1시간 무료,,,N,,,N,,,13시00분-14시00분,13시00분-14시00분,진료시간 마감 30분전,진료시간 마감 30분전,,,1000.0,2100.0,1000.0,2100.0,1000.0,2100.0,1000.0,2100.0,1000.0,2100.0,1000.0,1600.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzUxIyQxIyQ1IyQwMyQzNjE0ODEjODEjJDEjJDYjJDgz,김선영한의원,하대원동 아튼빌아파트,맞은편,,5.0,N,,전부휴진,오전 9시~오후 1시,N,,,N,,,13시~14시,없음,,,,,,,,,,,,,,,,
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzUxIyQxIyQxIyQ2MiQzNjE0ODEjNTEjJDEjJDYjJDgz,우리솔한의원,포인트타운 405호,,,30.0,N,,전부 휴진,전부 휴진,N,,,N,,,13시 -14시,,,,,,1000.0,1900.0,1000.0,1900.0,1000.0,1900.0,1000.0,1900.0,1000.0,1900.0,930.0,1400.0
